0	How concerned are you about climate change?
1	What is your gender?
2	Please specify:
3	Please state your year of birth.
4	Please indicate the country you currently live in.
5	Which language do you usually use at home? Indicate the first language you use most often:
6	Do you speak any other languages at home? If yes, please indicate the second language you use most often:
7	Which of the following best describes the area where you live?
8	What is the highest level of education you have successfully completed?
9	Please specify:
10	Do you have any political views?
11	In politics, the terms “left” and “right” are sometimes used. Can you characterise your political views using these concepts?
12	Please indicate your political views.
13	Which of the descriptions below comes closest to how you feel about your household’s income nowadays?
