0	Hvor bekymret er du for klimaendringer?
1	Oppgi ditt kjønn.
2	Vennligst oppgi:
3	Hvilket år er du født?
4	Oppgi hvilket land du bor i nå.
5	Hvilket språk benytter du oftest? Oppgi det første og hyppigst brukte språket:
6	Bruker du mer enn ett språk? Oppgi i så fall det andre språket som du bruker hyppigst:
7	Hvilken betegnelse passer best på området du bor i?
8	Hva er det høyeste utdanningsnivået du har bestått?
9	Vennligst oppgi:
10	Har du politiske synspunkter?
11	I politikken brukes iblant ordene “venstresiden” og “høyresiden”. Kan du karakterisere dine politiske synspunkter ved hjelp av disse begrepene?
12	Vennligst oppgi dine politiske synspunkter.
13	Hvilken av beskrivelsene nedenfor passer best med hvordan du opplever husholdningens inntekt for tiden?
